Ecommerce_Provider_ID,Merchant_ID,Merchant_Registration_Date,Registered_Device_ID,Gender,Age,IP_Address
1746213,50448,5/1/2018 21:15,VATQMMZTVOZUT,F,39,48.151.136.76
1746213,338754,4/14/2018 10:13,LJCILLBRQZNKS,M,35,94.9.145.169
1746213,291127,6/20/2018 7:44,JFVHSUGKDAYZV,F,40,58.94.157.121
1746213,319919,6/27/2018 1:41,WFRXMPLQYXRMY,M,37,193.187.41.186
1746213,195911,1/5/2018 0:55,GGHKWMSWHCMID,F,27,125.96.20.172
1746213,51878,7/29/2018 5:40,YSUUQMHOIJZHJ,M,30,10.119.144.96
1746213,205612,2/3/2018 5:37,VOQNWQHJUKFSZ,F,28,135.121.143.189
1746213,300823,2/24/2018 12:16,BQKBQIXSRMCHT,M,31,106.24.64.41
1746213,172822,1/22/2018 12:29,MKGAJACYBWCXO,F,27,160.16.202.244
1746213,241476,1/11/2018 22:05,JJHGNMWRZRCML,M,41,93.33.235.39
1746213,282981,2/25/2018 16:14,ENWOHXNLVKHUM,M,43,167.117.148.126
1746213,209856,4/7/2018 9:13,ZRGIOMOSCSWRY,F,41,168.129.203.251
1746213,112383,5/9/2018 21:53,FANJQIHNZCBLK,F,29,223.165.133.16
1746213,224741,7/17/2018 23:11,ZBMJYRLDFWDZH,M,33,22.147.247.152
1746213,53780,2/1/2018 13:57,IIVGTDWBOOCWF,F,23,197.35.41.113
1746213,313525,7/29/2018 14:11,QWKTKIPMQRAXM,F,26,111.238.209.74
1746213,190744,6/18/2018 0:17,GDPQAXLCESTGH,M,36,174.94.114.37
1746213,27166,3/5/2018 5:36,RKPZXEZTNVREZ,M,24,204.181.5.187
1746213,19528,3/1/2018 19:21,BXVJODDAGSUCB,M,26,223.44.210.52
1746213,289039,6/24/2018 22:14,ERCSCRGEPEMAZ,F,25,140.215.169.108
1746213,279462,7/16/2018 3:20,PRSFPXRRYRXQX,M,20,86.247.206.54
1746213,341655,8/12/2018 20:35,ANPBMJCRPNTAC,F,25,21.9.152.255
1746213,163262,6/28/2018 23:30,BHLVUPKGDEOZO,M,19,109.44.216.235
1746213,252403,6/26/2018 12:25,RLNKPJZWXTAAK,F,24,246.140.34.132
